Date,Title,compound,positive,negative,neutral,Compare
20/10/2021,UPDATE 2-Britain fines Facebook $70 mln for breaching order in Giphy deal,0,0,0,1,1
20/10/2021,Investing in Facebook Stock (FB),0,0,0,1,1
20/10/2021,Facebook doesnt need a new name. It needs new people.,0,0,0,1,1
20/10/2021,TBJ Plus: Major player in Triangle real estate goes international; Cary's SAS among best workplaces in the world; More momentum for local housing market,0.6369,0.154,0,0.846,1
20/10/2021,"Facebook might be changing its name, but its controversies will continue to follow it",0,0,0,1,1
20/10/2021,Enter the Zuckerverse? Social media churns with new names for Facebook,0,0,0,1,1
20/10/2021,Facebook plans to change its name to help the company rebrand: rpt,0.4019,0.197,0,0.803,1
20/10/2021,Facebook fined $69.4 million by U.K. for failing to supply data during Giphy investigation,-0.5106,0,0.202,0.798,1
20/10/2021,"Column: Facebook, fooling no one, may be going for a new name",-0.5994,0,0.329,0.671,1
20/10/2021,Facebook's 'Metaverse' Gamble: Is A Name Change In The Works?,0,0,0,1,1
20/10/2021,PayPal Is Exploring a Purchase of Pinterest,0,0,0,1,1
20/10/2021,The easy way to rein in Facebook and Google: stop them from gobbling up potential competitors,0.1779,0.152,0.115,0.733,1
20/10/2021,"Changing Facebook's name will not deter lawmaker or regulatory scrutiny, experts say",0,0,0,1,1
20/10/2021,WhatsApp Introduces Catalogue Collections,0,0,0,1,1
20/10/2021,Facebook Spent $5.1 Million Lobbying as Whistleblower Leaks Spark Scrutiny,0.1531,0.17,0.116,0.714,1
20/10/2021,Facebooks smart glasses could invade your privacy in new ways,0.4019,0.231,0,0.769,1
20/10/2021,Facebook fined £50 million in latest regulatory punishment over Giphy acquisition,-0.4939,0,0.242,0.758,1
20/10/2021,Facebook stock looks silly cheap: analyst,0.0258,0.18,0,0.82,1
20/10/2021,DC AG adds Zuckerberg as defendant in lawsuit against Facebook,-0.2263,0,0.174,0.826,1
20/10/2021,"Analyst calls Coinbase a 'must own' stock, sees price going to $600",0,0,0,1,1
